Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_HR,Vaccine allocation phase: Adults w/ High-Risk Medical Conditions,"The phase of a state's vaccine allocation plan in which adults diagnosed with high-risk medical conditions may be eligible to receive a COVID-19 vaccine. Specific medical conditions considered to be ""high-risk"" are determined on a state-by-state basis, usually with reference to CDC definitions, and may put an individual at increased risk for severe COVID-19-associated illness",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_K12,Vaccine allocation phase: Pre-K-12 School Employees,"The phase of a state's vaccine allocation plan in which child care, pre-school, and K-12 school employees may be eligible to receive a COVID-19 vaccine. Includes teachers, administrators, environmental services, maintenance workers, bus drivers, childcare workers, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_HIGHED,Vaccine allocation phase: Higher Education Employees,"The phase of a state's vaccine allocation plan in which any employees of higher education institutions, such as colleges and universities, may be eligible to receive a COVID-19 vaccine",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_PT,Vaccine allocation phase: Public Transit Workers,The phase of a state's vaccine allocation plan in which public transit workers may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_FOOD,Vaccine allocation phase: Food Supply Workers,The phase of a state's vaccine allocation plan in which food supply workers may be eligible to receive a COVID-19 vaccine. Refers to those who work in roles directly involved with food processing and/or packing,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_GROCERY,Vaccine allocation phase: Grocery Store Workers,The phase of a state's vaccine allocation plan in which grocery store workers may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_ESSWORK,Vaccine allocation phase: Frontline Essential Workers,"The phase of a state's vaccine allocation plan in which frontline workers essential to maintaining critical infrastructure may be eligible to receive a COVID-19 vaccine. May include but is not limited to those who work in sectors such as postal service, utilities, transportation and logistics, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_ADDWORK,Vaccine allocation phase: Additional Essential Workers,"The phase of a state's vaccine allocation plan in which additional essential workers in public-facing settings may be eligible to receive a COVID-19 vaccine. May refer to those who work in sectors including but not limited to hospitality, fitness/exercise, retail, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_PUB,Vaccine allocation phase: General Public,The phase of a state's vaccine allocation plan in which the COVID-19 vaccine will be widely available to the general public,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80DATE,Date adults ages 80+ became eligible for vaccination,The date in which a state made adults ages 80+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75DATE,Date adults ages 75+ became eligible for vaccination,The date in which a state made adults ages 75+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70DATE,Date adults ages 70+ became eligible for vaccination,The date in which a state made adults ages 70+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65DATE,Date adults ages 65+ became eligible for vaccination,The date in which a state made adults ages 65+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60DATE,Date adults ages 60+ became eligible for vaccination,The date in which a state made adults ages 60+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55DATE,Date adults ages 55+ became eligible for vaccination,The date in which a state made adults ages 55+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50DATE,Date adults ages 50+ became eligible for vaccination,The date in which a state made adults ages 50+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45DATE,Date adults ages 45+ became eligible for vaccination,The date in which a state made adults ages 45+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40DATE,Date adults ages 40+ became eligible for vaccination,The date in which a state made adults ages 40+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30DATE,Date adults ages 30+ became eligible for vaccination,The date in which a state made adults ages 30+ eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12DATE,Date K-12 school employees became eligible for vaccination,The date in which a state made K-12 school employees eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROCERYDATE,Date grocery store workers became eligible for vaccination,The date in which a state made grocery store workers eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCDATE,Date incarcerated people became eligible for vaccination,The date in which a state made incarcerated people eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBDATE,Date general public became eligible for vaccination,The date in which a state made the general public eligible for COVID-19 vaccination,vaccine,start,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGEPRIORITY,Adults ages 65+ prioritized ahead of essential workers,If a state prioritizes adults ages 65+ for COVID-19 vaccination ahead of essential workers,vaccine,attribute,flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACEPRIORITY,Prioritization by race/ethnicity,If a state explicitly prioritizes certain individuals for COVID-19 vaccination by race/ethnicity,vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROOFWORK,Proof of work eligibility requirement for vaccination,If a state requires proof of occupation to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROOFAGE,Proof of age eligibility requirement for vaccination,If a state requires proof of age to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROOFRES,Proof of residency requirement for vaccination,If a state requires proof of residency to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENALTY,Penalty for failure to comply with COVID-19 vaccine distribution requirements,"If a state enforces punitive measures on providers for failing to adhere to COVID-19 vaccine distribution requirements. Penalties may include a fine to the vaccine provider or distribution facility, revocation of provider's license, and forced vaccine reallocation/halting further delivery of vaccine supply",vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPANDADMIN,Expanded scope of practice of certain health providers to administer COVID-19 vaccines,"If a state expanded the scope of practice of certain health care providers (i.e. EMTs, paramedics, nursing & medical students, etc.) to allow for COVID-19 vaccine administration",vaccine,attribute,flag,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMSTART,First overall eviction moratorium start,"The date at least one state actor first prohibited some part of the eviction process. This may include suspending notice of eviction to tenants, suspending filing of eviction claims, suspending hearings on eviction, suspending entry of judgments or issuance of writs of eviction, or suspending enforcement of eviction orders or writs. State actors may include governors, legislative bodies, or courts.",housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEND,First overall eviction moratorium end,"The date that any remaining prohibitions on any part of the eviction process expired. No eviction prohibitions were in place in any part of the eviction process and any stages that were previously frozen could restart on this date, including notice of eviction to tenants, filing of eviction claims, hearings on eviction, entry of judgment or issuance of writs of eviction, and enforcement of eviction orders or writs. No eviction prohibitions remained in place on any aspect of the eviction process.",housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMSTART2,Second overall eviction moratorium start,The date at least one state actor prohibited some part of the eviction process for a second non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEND2,Second overall eviction moratorium end,The date that any remaining prohibitions on any part of the eviction process expired for a second non-contiguous period during the COVID-19 pandemic. No eviction prohibitions remained in place on any aspect of the eviction process.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMSTART3,Third overall eviction moratorium start,The date at least one state actor prohibited some part of the eviction process for a third non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEND3,Third overall eviction moratorium end,The date that any remaining prohibitions on any part of the eviction process expired for a third non-contiguous period during the COVID-19 pandemic. No eviction prohibitions remained in place on any aspect of the eviction process.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMNOW,Eviction moratorium currently in place,Whether a state currently has an eviction moratorium in place as of the date of last review,housing,attribute,flag,"1,0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIATIONBANSTART,First eviction initiation ban start,The date a state actor started prohibiting landlords from giving notice of or filing an eviction action.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIATIONBANEND,First eviction initiation ban end,The date no remaining prohibition on giving notice of or filing for eviction remained and landlords could file an eviction action.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIATIONBANSTART2,Second eviction initiation ban start,The date a state actor started prohibiting landlords from giving notice of or filing an eviction action for a second non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIATIONBANEND2,Second eviction initiation ban end,The date no prohibition on giving notice of or filing for eviction remained and landlords could file an eviction action for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARINGBANSTART,First eviction hearing ban start,The date that a state actor started prohibiting courts from holding eviction hearings.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARINGBANEND,First eviction hearing ban end,The date no prohibition on a court’s ability to hold eviction hearings remained and courts could start holding eviction hearings.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARINGBANSTART2,Second eviction hearing ban start,The date a state actor started prohibiting courts from holding eviction hearings for a second non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARINGBANEND2,Second eviction hearing ban end,The date no prohibition on a court’s ability to hold eviction hearings remained and courts could start holding eviction hearings for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFORCEBANSTART,First eviction enforcement ban start,The date a state actor started prohibiting law enforcement personnel from enforcing orders of eviction.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFORCEBANEND,First eviction enforcement ban end,The date a state actor lifted its prohibition on law enforcement personnel enforcing orders of eviction and law enforcement could resume executing orders of eviction.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFORCEBANSTART2,Second eviction enforcement ban start,The date a state actor started prohibiting law enforcement personnel from enforcing orders of eviction for a second non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFORCEBANEND2,Second eviction enforcement ban end,The date a state actor lifted its prohibition on law enforcement personnel enforcing orders of eviction and law enforcement could resume executing orders of eviction for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19START,COVID-19 hardship limitation start,The date a state limited a prohibition on some part of the eviction process to tenants who were experiencing an economic or health-related hardship due to COVID-19. Other tenants were not protected by moratoria.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19END,COVID-19 hardship limitation end,The date a state actor lifted its prohibition on some part of the eviction process that was limited to COVID-19 hardship or lifted the COVID-19 hardship requirement.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19START2,Second COVID-19 hardship limitation start,The date a state actor started limiting a prohibition on some part of the eviction process to tenants who were experiencing an economic or health-related hardship due to COVID-19 for a second non-contiguous period during the COVID-19 pandemic. Other tenants were not covered by moratoria.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19END2,Second COVID-19 hardship limitation end,The date a state actor lifted its prohibition on some part of the eviction process that was limited to COVID-19 hardship or lifted the COVID-19 hardship requirement for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYSTART,Non-payment limitation start,The date a state actor started limiting a prohibition on some part of the eviction process to evictions where the cause of action was for non-payment of rent. Other reasons for filing an eviction were not prohibited.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYEND,Non-payment limitation end,The date a state actor lifted its prohibition on some part of the eviction process only where the cause of action was for the tenant’s non-payment of rent.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYSTART2,Second non-payment limitation start,The date a state actor started limiting a prohibition on some part of the eviction process to evictions where the cause of action was for non-payment of rent for a second non-contiguous period during the COVID-19 pandemic. Other reasons for filing an eviction were not prohibited.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYEND2,Second non-payment limitation end,The date a state actor lifted its prohibition on some part of the eviction process only where the cause of action was for the tenant’s non-payment of rent for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARESSTART,CARES Act pleading start,The date a state actor started requiring that a landlord filing for eviction provide a certification or affirmation that the property is not covered by the federal CARES Act eviction moratorium.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARESEND,CARES Act pleading end,The date a state actor lifted the requirement that a landlord filing for eviction provide a certification/affirmation that the property is not covered by the federal CARES Act eviction moratorium.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDCSTART,CDC moratorium start,The date a state actor recognized the authority of the CDC moratorium in the state or required that a landlord filing for eviction provide a certification/affirmation that the tenant had not provided the landlord with a CDC Declaration.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDCEND,CDC moratorium end,The date a state actor stopped recognizing the CDC moratorium or lifted the requirement that a landlord filing for eviction provide a certification/affirmation that the tenant had not provided the landlord with a CDC Declaration.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATESTART,First late fee ban start,The date a state actor prohibited the collection of late fees or the bringing of an action for late fees.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEEND,First late fee ban end,The date a state actor stopped prohibiting the collection of late fees or the bringing of an action for late fees.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATESTART2,Second late fee ban start,The date a state actor prohibited the collection of late fees or the bringing of an action for late fees for a second non-contiguous period during the COVID-19 pandemic.,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEEND2,Second late fee ban end,The date a state actor stopped prohibiting the collection of late fees or the bringing of an action for late fees for a second non-contiguous period during the COVID-19 pandemic.,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMSTART,Utilities shutoff moratorium start,The date a state prohibited utility companies from disconnecting tenants from utilities,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMEND,Utilities shutoff moratorium expiration,The date a state lifted an order that prohibited utility companies from disconnecting tenants from utilities,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMSTART2,Second utilities shutoff moratorium start,The date a state prohibited utility companies from disconnecting tenants from utilities for the second point in time during the COVID-19 pandemic,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URSTART,Utilities reconnection start,The date a state allowed tenants to be reconnected to utilities without paying any fees,housing,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UREND,Utilities reconnection end,The date a state lifted an order that allowed tenants to be reconnected to utilities without paying any fees,housing,end,date,0: policy not implemented; ^: date not yet determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPALLO,SNAP Waiver - Emergency allotments to current SNAP households,The date a state was approved the use of a waiver to provide many SNAP households with emergency supplementary benefits up to the maximum benefit a household can receive.,food_security,start,date,0: policy not implemented;,,SNAP waivers are submitted to the USDA to allow state SNAP agencies to modify requirements or policies of their state SNAP program. https://www.fns.usda.gov/disaster/pandemic/covid-19/snap-waivers-flexibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPEBT20,SNAP Waiver - Pandemic EBT during school year 2019-2020,"The date a state was approved the use of a waiver to provide meal replacement benefits through SNAP, known as “Pandemic EBT” (for electronic benefit transfer), for households with children who attend a school that’s closed and who would otherwise receive free or reduced-price meals during the 2019-2020 school year",food_security,start,date,0: policy not implemented;,,SNAP waivers are submitted to the USDA to allow state SNAP agencies to modify requirements or policies of their state SNAP program. https://www.fns.usda.gov/disaster/pandemic/covid-19/snap-waivers-flexibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPEBT21,SNAP Waiver - Pandemic EBT during school year 2020-2021,"The date a state was approved the use of a waiver to provide meal replacement benefits through SNAP, known as “Pandemic EBT” (for electronic benefit transfer), for households with children who attend a school that’s closed and who would otherwise receive free or reduced-price meals during the 2020-2021 school year",food_security,start,date,0: policy not implemented;,,SNAP waivers are submitted to the USDA to allow state SNAP agencies to modify requirements or policies of their state SNAP program. https://www.fns.usda.gov/disaster/pandemic/covid-19/snap-waivers-flexibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPEBTSUMMER,SNAP Waiver - Pandemic EBT during summer 2021,"The date a state was approved the use of a waiver to provide meal replacement benefits through SNAP, known as “Pandemic EBT” (for electronic benefit transfer), for households with children who attend a school that’s closed and who would otherwise receive free or reduced-price meals during the summer of 2021",food_security,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSUSP,SNAP Waiver - Temporary suspension of claims collection,The date a state was approved the use of a waiver to temporarily suspend collection of SNAP claims,food_security,start,date,0: policy not implemented;,,SNAP waivers are submitted to the USDA to allow state SNAP agencies to modify requirements or policies of their state SNAP program. https://www.fns.usda.gov/disaster/pandemic/covid-19/snap-waivers-flexibilities USDA issued a blanket approval 4/13 for any state submitted a wavier for temporary suspension of claims collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPTLW,2020 Q1 SNAP ABAWD Time Limit Waiver,"Before the pandemic, whether a state had a waiver that allowed them to provide SNAP to able-bodied adults without dependents (ABAWDs) who were not meeting work requirements. Without these waivers, states are only allowed to provide SNAP to these individuals for 3 months in a 36 month period.",food_security,attribute,flag,"1,0","1=""YES"",0=""NO""","Notes: DC, LA, and NM have ABAWD time limit waivers that apply to the entire state. The remaining 32 states listed have waivers that apply to certain areas of the state. All ABAWD time limits were suspended by the Families First Coronavirus Response Act. effective April 1, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MED1135W,Modify Medicaid requirements with 1135 waivers (date of CMS approval),The date a state used a 1135 waiver to modify or waive Medicaid requirements,healthcare_delivery,start,date,0: policy not implemented;,,Section 1135 waivers allow states to modify or waive certain Medicaid requirements. https://www.cms.gov/about-CMS/emergency-preparedness-response-operations/current-emergencies/coronavirus-waivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAENROL,Reopened ACA enrollment using a special enrollment period,The date a state reopened ACA enrollment using a Special Enrollment Period (SEP).,healthcare_delivery,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVTLHL,State previously allowed audio-only telehealth,Whether a state previously allowed audio-only telehealth,healthcare_delivery,attribute,flag,"1,0","1=""YES"",0=""NO""","Prior to the pandemic, a state already had law/statute in place to allow audio-only telehealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLHLAUD,Allow audio-only telehealth,"The date states allowed audio only telehealth statewide. If a state previously allowed audio only telehealth, it will be marked as 1/0/1900",healthcare_delivery,start,date,0: policy not implemented; 1/1/2020: state previously allowed audio only telehealth;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLHLMED,Allow/expand Medicaid telehealth coverage,The date states allowed or expand Medicaid telehealth coverage statewide in response to the pandemic,healthcare_delivery,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIPLKOT,State had CHIP premium non-payment lock-out period as of January 2019,Whether a state had a non-payment lock-out period for CHIP as of January 2019. A lock-out period is the amount of time during which the disenrolled child is prohibited from returning to the CHIP program due to non-payment of premiums.,healthcare_delivery,attribute,flag,"1,0","1=""YES"",0=""NO""","A lockout period is an amount of time during which the disenrolled child is prohibited from returning to the CHIP program due to non-payment of premiums. Lockouts are not permitted in Medicaid, and the Affordable Care Act (ACA) limited lockout periods in CHIP to no more than 90 days; Source: data collected by Georgetown University Center for Children and Families and the Kaiser Family Foundation: http://files.kff.org/attachment/Report-Medicaid-and-CHIP-Eligibility-Enrollment-Renewal-and-Cost-Sharing-Policies-as-of-January-2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKOTSUS,Suspend CHIP premium non-payment lock-outs,"Whether a state suspended their non-payment lock-out policy for CHIP during the pandemic. If a state did not have an existing lock-out policy, they will be marked as 0.",healthcare_delivery,attribute,flag,"1,0","1=""YES"",0=""NO""","A lockout period is an amount of time during which the disenrolled child is prohibited from returning to the CHIP program due to non-payment of premiums. Lockouts are not permitted in Medicaid, and the Affordable Care Act (ACA) limited lockout periods in CHIP to no more than 90 days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKTHROUGH,Report COVID-19 breakthrough cases,If a state publicly reports COVID-19 breakthrough case data,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST,Report COVID-19 testing by race/ethnicity,If a state reports COVID-19 testing by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE,Report COVID-19 cases by race/ethnicity,If a state reports COVID-19 cases by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP,Report COVID-19 hospitalizations by race/ethnicity,If a state reports COVID-19 hospitalizations by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEATH,Report COVID-19 deaths by race/ethnicity,If a state reports COVID-19 deaths by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VACCINE,Report COVID-19 vaccinations by race/ethnicity,If a state reports COVID-19 vaccinations by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKRACE,Report COVID-19 breakthrough cases by race/ethnicity,If a state reports COVID-19 breakthrough cases by race/ethnicity,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESTAIAN,Report AI/AN COVID-19 testing,If a state reports data on COVID-19 testing for American Indian/Alaska Native people as a distinct race category,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
