,policy,category,fips,state,statename,year,month,day,adopted,ended
10794,20-week Extended Benefits program deactivated,unemployment,37,NC,North Carolina,2020,10,10,0.0,True
10744,20-week Extended Benefits program activated,unemployment,38,ND,North Dakota,,,,1.0,True
10795,20-week Extended Benefits program deactivated,unemployment,38,ND,North Dakota,,,,0.0,True
10745,20-week Extended Benefits program activated,unemployment,39,OH,Ohio,2020,06,07,1.0,True
10796,20-week Extended Benefits program deactivated,unemployment,39,OH,Ohio,2020,12,12,0.0,True
10746,20-week Extended Benefits program activated,unemployment,40,OK,Oklahoma,,,,1.0,True
10797,20-week Extended Benefits program deactivated,unemployment,40,OK,Oklahoma,,,,0.0,True
10747,20-week Extended Benefits program activated,unemployment,41,OR,Oregon,2020,07,05,1.0,True
10798,20-week Extended Benefits program deactivated,unemployment,41,OR,Oregon,2020,12,12,0.0,True
10748,20-week Extended Benefits program activated,unemployment,42,PA,Pennsylvania,,,,1.0,True
10799,20-week Extended Benefits program deactivated,unemployment,42,PA,Pennsylvania,,,,0.0,True
10749,20-week Extended Benefits program activated,unemployment,44,RI,Rhode Island,2020,06,07,1.0,True
10800,20-week Extended Benefits program deactivated,unemployment,44,RI,Rhode Island,2021,02,20,0.0,True
10750,20-week Extended Benefits program activated,unemployment,45,SC,South Carolina,2020,07,05,1.0,True
10801,20-week Extended Benefits program deactivated,unemployment,45,SC,South Carolina,2020,10,10,0.0,True
10751,20-week Extended Benefits program activated,unemployment,46,SD,South Dakota,,,,1.0,True
10802,20-week Extended Benefits program deactivated,unemployment,46,SD,South Dakota,,,,0.0,True
10752,20-week Extended Benefits program activated,unemployment,47,TN,Tennessee,,,,1.0,True
10803,20-week Extended Benefits program deactivated,unemployment,47,TN,Tennessee,,,,0.0,True
10753,20-week Extended Benefits program activated,unemployment,48,TX,Texas,2020,07,05,1.0,True
10804,20-week Extended Benefits program deactivated,unemployment,48,TX,Texas,2020,10,10,0.0,True
10754,20-week Extended Benefits program activated,unemployment,49,UT,Utah,,,,1.0,True
10805,20-week Extended Benefits program deactivated,unemployment,49,UT,Utah,,,,0.0,True
10755,20-week Extended Benefits program activated,unemployment,50,VT,Vermont,2020,07,05,1.0,True
10806,20-week Extended Benefits program deactivated,unemployment,50,VT,Vermont,2020,10,10,0.0,True
10756,20-week Extended Benefits program activated,unemployment,51,VA,Virginia,,,,1.0,True
10807,20-week Extended Benefits program deactivated,unemployment,51,VA,Virginia,,,,0.0,True
10757,20-week Extended Benefits program activated,unemployment,53,WA,Washington,2020,06,07,1.0,True
10808,20-week Extended Benefits program deactivated,unemployment,53,WA,Washington,2020,12,12,0.0,True
10758,20-week Extended Benefits program activated,unemployment,54,WV,West Virginia,,,,1.0,True
10809,20-week Extended Benefits program deactivated,unemployment,54,WV,West Virginia,,,,0.0,True
10759,20-week Extended Benefits program activated,unemployment,55,WI,Wisconsin,,,,1.0,True
10810,20-week Extended Benefits program deactivated,unemployment,55,WI,Wisconsin,,,,0.0,True
10760,20-week Extended Benefits program activated,unemployment,56,WY,Wyoming,,,,1.0,True
10811,20-week Extended Benefits program deactivated,unemployment,56,WY,Wyoming,,,,0.0,True
10812,20-week Extended Benefits program activated x2,unemployment,1,AL,Alabama,,,,1.0,True
10863,20-week Extended Benefits program deactivated x2,unemployment,1,AL,Alabama,,,,0.0,True
10813,20-week Extended Benefits program activated x2,unemployment,2,AK,Alaska,,,,1.0,True
10864,20-week Extended Benefits program deactivated x2,unemployment,2,AK,Alaska,,,,0.0,True
10814,20-week Extended Benefits program activated x2,unemployment,4,AZ,Arizona,,,,1.0,True
10865,20-week Extended Benefits program deactivated x2,unemployment,4,AZ,Arizona,,,,0.0,True
10815,20-week Extended Benefits program activated x2,unemployment,5,AR,Arkansas,,,,1.0,True
10866,20-week Extended Benefits program deactivated x2,unemployment,5,AR,Arkansas,,,,0.0,True
10816,20-week Extended Benefits program activated x2,unemployment,6,CA,California,,,,1.0,True
10867,20-week Extended Benefits program deactivated x2,unemployment,6,CA,California,,,,0.0,True
10817,20-week Extended Benefits program activated x2,unemployment,8,CO,Colorado,,,,1.0,True
10868,20-week Extended Benefits program deactivated x2,unemployment,8,CO,Colorado,,,,0.0,True
10818,20-week Extended Benefits program activated x2,unemployment,9,CT,Connecticut,2021,04,04,1.0,True
10869,20-week Extended Benefits program deactivated x2,unemployment,9,CT,Connecticut,,,,0.0,True
10819,20-week Extended Benefits program activated x2,unemployment,10,DE,Delaware,,,,1.0,True
10870,20-week Extended Benefits program deactivated x2,unemployment,10,DE,Delaware,,,,0.0,True
10820,20-week Extended Benefits program activated x2,unemployment,11,DC,District of Columbia,2021,04,04,1.0,True
10871,20-week Extended Benefits program deactivated x2,unemployment,11,DC,District of Columbia,2021,07,03,0.0,True
10821,20-week Extended Benefits program activated x2,unemployment,12,FL,Florida,,,,1.0,True
10872,20-week Extended Benefits program deactivated x2,unemployment,12,FL,Florida,,,,0.0,True
10822,20-week Extended Benefits program activated x2,unemployment,13,GA,Georgia,,,,1.0,True
10873,20-week Extended Benefits program deactivated x2,unemployment,13,GA,Georgia,,,,0.0,True
10823,20-week Extended Benefits program activated x2,unemployment,15,HI,Hawaii,,,,1.0,True
10874,20-week Extended Benefits program deactivated x2,unemployment,15,HI,Hawaii,,,,0.0,True
10824,20-week Extended Benefits program activated x2,unemployment,16,ID,Idaho,,,,1.0,True
10875,20-week Extended Benefits program deactivated x2,unemployment,16,ID,Idaho,,,,0.0,True
10825,20-week Extended Benefits program activated x2,unemployment,17,IL,Illinois,,,,1.0,True
10876,20-week Extended Benefits program deactivated x2,unemployment,17,IL,Illinois,,,,0.0,True
10826,20-week Extended Benefits program activated x2,unemployment,18,IN,Indiana,,,,1.0,True
10877,20-week Extended Benefits program deactivated x2,unemployment,18,IN,Indiana,,,,0.0,True
10827,20-week Extended Benefits program activated x2,unemployment,19,IA,Iowa,,,,1.0,True
10878,20-week Extended Benefits program deactivated x2,unemployment,19,IA,Iowa,,,,0.0,True
10828,20-week Extended Benefits program activated x2,unemployment,20,KS,Kansas,,,,1.0,True
10879,20-week Extended Benefits program deactivated x2,unemployment,20,KS,Kansas,,,,0.0,True
10829,20-week Extended Benefits program activated x2,unemployment,21,KY,Kentucky,,,,1.0,True
10880,20-week Extended Benefits program deactivated x2,unemployment,21,KY,Kentucky,,,,0.0,True
10830,20-week Extended Benefits program activated x2,unemployment,22,LA,Louisiana,,,,1.0,True
10881,20-week Extended Benefits program deactivated x2,unemployment,22,LA,Louisiana,,,,0.0,True
10831,20-week Extended Benefits program activated x2,unemployment,23,ME,Maine,,,,1.0,True
10882,20-week Extended Benefits program deactivated x2,unemployment,23,ME,Maine,,,,0.0,True
10832,20-week Extended Benefits program activated x2,unemployment,24,MD,Maryland,,,,1.0,True
10883,20-week Extended Benefits program deactivated x2,unemployment,24,MD,Maryland,,,,0.0,True
10833,20-week Extended Benefits program activated x2,unemployment,25,MA,Massachusetts,2021,04,04,1.0,True
10884,20-week Extended Benefits program deactivated x2,unemployment,25,MA,Massachusetts,2021,07,03,0.0,True
10834,20-week Extended Benefits program activated x2,unemployment,26,MI,Michigan,,,,1.0,True
10885,20-week Extended Benefits program deactivated x2,unemployment,26,MI,Michigan,,,,0.0,True
10835,20-week Extended Benefits program activated x2,unemployment,27,MN,Minnesota,,,,1.0,True
10886,20-week Extended Benefits program deactivated x2,unemployment,27,MN,Minnesota,,,,0.0,True
10836,20-week Extended Benefits program activated x2,unemployment,28,MS,Mississippi,,,,1.0,True
10887,20-week Extended Benefits program deactivated x2,unemployment,28,MS,Mississippi,,,,0.0,True
10837,20-week Extended Benefits program activated x2,unemployment,29,MO,Missouri,,,,1.0,True
10888,20-week Extended Benefits program deactivated x2,unemployment,29,MO,Missouri,,,,0.0,True
10838,20-week Extended Benefits program activated x2,unemployment,30,MT,Montana,,,,1.0,True
10889,20-week Extended Benefits program deactivated x2,unemployment,30,MT,Montana,,,,0.0,True
10839,20-week Extended Benefits program activated x2,unemployment,31,NE,Nebraska,,,,1.0,True
10890,20-week Extended Benefits program deactivated x2,unemployment,31,NE,Nebraska,,,,0.0,True
10840,20-week Extended Benefits program activated x2,unemployment,32,NV,Nevada,2021,03,28,1.0,True
10891,20-week Extended Benefits program deactivated x2,unemployment,32,NV,Nevada,2021,08,07,0.0,True
10841,20-week Extended Benefits program activated x2,unemployment,33,NH,New Hampshire,,,,1.0,True
10892,20-week Extended Benefits program deactivated x2,unemployment,33,NH,New Hampshire,,,,0.0,True
10842,20-week Extended Benefits program activated x2,unemployment,34,NJ,New Jersey,,,,1.0,True
10893,20-week Extended Benefits program deactivated x2,unemployment,34,NJ,New Jersey,,,,0.0,True
10843,20-week Extended Benefits program activated x2,unemployment,35,NM,New Mexico,,,,1.0,True
10894,20-week Extended Benefits program deactivated x2,unemployment,35,NM,New Mexico,,,,0.0,True
10844,20-week Extended Benefits program activated x2,unemployment,36,NY,New York,,,,1.0,True
10895,20-week Extended Benefits program deactivated x2,unemployment,36,NY,New York,,,,0.0,True
10845,20-week Extended Benefits program activated x2,unemployment,37,NC,North Carolina,,,,1.0,True
10896,20-week Extended Benefits program deactivated x2,unemployment,37,NC,North Carolina,,,,0.0,True
10846,20-week Extended Benefits program activated x2,unemployment,38,ND,North Dakota,,,,1.0,True
10897,20-week Extended Benefits program deactivated x2,unemployment,38,ND,North Dakota,,,,0.0,True
10847,20-week Extended Benefits program activated x2,unemployment,39,OH,Ohio,,,,1.0,True
10898,20-week Extended Benefits program deactivated x2,unemployment,39,OH,Ohio,,,,0.0,True
10848,20-week Extended Benefits program activated x2,unemployment,40,OK,Oklahoma,,,,1.0,True
10899,20-week Extended Benefits program deactivated x2,unemployment,40,OK,Oklahoma,,,,0.0,True
10849,20-week Extended Benefits program activated x2,unemployment,41,OR,Oregon,,,,1.0,True
10900,20-week Extended Benefits program deactivated x2,unemployment,41,OR,Oregon,,,,0.0,True
10850,20-week Extended Benefits program activated x2,unemployment,42,PA,Pennsylvania,,,,1.0,True
10901,20-week Extended Benefits program deactivated x2,unemployment,42,PA,Pennsylvania,,,,0.0,True
10851,20-week Extended Benefits program activated x2,unemployment,44,RI,Rhode Island,,,,1.0,True
10902,20-week Extended Benefits program deactivated x2,unemployment,44,RI,Rhode Island,,,,0.0,True
10852,20-week Extended Benefits program activated x2,unemployment,45,SC,South Carolina,,,,1.0,True
10903,20-week Extended Benefits program deactivated x2,unemployment,45,SC,South Carolina,,,,0.0,True
10853,20-week Extended Benefits program activated x2,unemployment,46,SD,South Dakota,,,,1.0,True
10904,20-week Extended Benefits program deactivated x2,unemployment,46,SD,South Dakota,,,,0.0,True
10854,20-week Extended Benefits program activated x2,unemployment,47,TN,Tennessee,,,,1.0,True
10905,20-week Extended Benefits program deactivated x2,unemployment,47,TN,Tennessee,,,,0.0,True
10855,20-week Extended Benefits program activated x2,unemployment,48,TX,Texas,,,,1.0,True
10906,20-week Extended Benefits program deactivated x2,unemployment,48,TX,Texas,,,,0.0,True
10856,20-week Extended Benefits program activated x2,unemployment,49,UT,Utah,,,,1.0,True
10907,20-week Extended Benefits program deactivated x2,unemployment,49,UT,Utah,,,,0.0,True
10857,20-week Extended Benefits program activated x2,unemployment,50,VT,Vermont,,,,1.0,True
10908,20-week Extended Benefits program deactivated x2,unemployment,50,VT,Vermont,,,,0.0,True
10858,20-week Extended Benefits program activated x2,unemployment,51,VA,Virginia,,,,1.0,True
10909,20-week Extended Benefits program deactivated x2,unemployment,51,VA,Virginia,,,,0.0,True
10859,20-week Extended Benefits program activated x2,unemployment,53,WA,Washington,,,,1.0,True
10910,20-week Extended Benefits program deactivated x2,unemployment,53,WA,Washington,,,,0.0,True
10860,20-week Extended Benefits program activated x2,unemployment,54,WV,West Virginia,,,,1.0,True
10911,20-week Extended Benefits program deactivated x2,unemployment,54,WV,West Virginia,,,,0.0,True
10861,20-week Extended Benefits program activated x2,unemployment,55,WI,Wisconsin,,,,1.0,True
10912,20-week Extended Benefits program deactivated x2,unemployment,55,WI,Wisconsin,,,,0.0,True
10862,20-week Extended Benefits program activated x2,unemployment,56,WY,Wyoming,,,,1.0,True
10913,20-week Extended Benefits program deactivated x2,unemployment,56,WY,Wyoming,,,,0.0,True
13617,Closed casinos,closure,1,AL,Alabama,2020,03,28,1.0,True
13668,Reopened casinos,reopening,1,AL,Alabama,2020,05,22,0.0,True
13618,Closed casinos,closure,2,AK,Alaska,,,,1.0,True
13669,Reopened casinos,reopening,2,AK,Alaska,,,,0.0,True
13619,Closed casinos,closure,4,AZ,Arizona,,,,1.0,True
13670,Reopened casinos,reopening,4,AZ,Arizona,,,,0.0,True
13620,Closed casinos,closure,5,AR,Arkansas,2020,03,17,1.0,True
13671,Reopened casinos,reopening,5,AR,Arkansas,2020,05,18,0.0,True
13621,Closed casinos,closure,6,CA,California,,,,1.0,True
13672,Reopened casinos,reopening,6,CA,California,,,,0.0,True
13622,Closed casinos,closure,8,CO,Colorado,2020,03,17,1.0,True
13673,Reopened casinos,reopening,8,CO,Colorado,2020,08,24,0.0,True
13623,Closed casinos,closure,9,CT,Connecticut,,,,1.0,True
13674,Reopened casinos,reopening,9,CT,Connecticut,,,,0.0,True
13624,Closed casinos,closure,10,DE,Delaware,2020,03,16,1.0,True
13675,Reopened casinos,reopening,10,DE,Delaware,2020,06,01,0.0,True
13625,Closed casinos,closure,11,DC,District of Columbia,,,,1.0,True
13676,Reopened casinos,reopening,11,DC,District of Columbia,,,,0.0,True
13626,Closed casinos,closure,12,FL,Florida,,,,1.0,True
13677,Reopened casinos,reopening,12,FL,Florida,,,,0.0,True
13627,Closed casinos,closure,13,GA,Georgia,,,,1.0,True
13678,Reopened casinos,reopening,13,GA,Georgia,,,,0.0,True
13628,Closed casinos,closure,15,HI,Hawaii,,,,1.0,True
13679,Reopened casinos,reopening,15,HI,Hawaii,,,,0.0,True
13629,Closed casinos,closure,16,ID,Idaho,,,,1.0,True
13680,Reopened casinos,reopening,16,ID,Idaho,,,,0.0,True
13630,Closed casinos,closure,17,IL,Illinois,2020,03,16,1.0,True
13681,Reopened casinos,reopening,17,IL,Illinois,2020,07,01,0.0,True
13631,Closed casinos,closure,18,IN,Indiana,2020,03,16,1.0,True
13682,Reopened casinos,reopening,18,IN,Indiana,2020,06,15,0.0,True
13632,Closed casinos,closure,19,IA,Iowa,2020,03,16,1.0,True
13683,Reopened casinos,reopening,19,IA,Iowa,2020,06,01,0.0,True
13633,Closed casinos,closure,20,KS,Kansas,2020,05,04,1.0,True
13684,Reopened casinos,reopening,20,KS,Kansas,2020,05,22,0.0,True
13634,Closed casinos,closure,21,KY,Kentucky,,,,1.0,True
13685,Reopened casinos,reopening,21,KY,Kentucky,,,,0.0,True
13635,Closed casinos,closure,22,LA,Louisiana,2020,03,17,1.0,True
13686,Reopened casinos,reopening,22,LA,Louisiana,2020,05,18,0.0,True
13636,Closed casinos,closure,23,ME,Maine,,,,1.0,True
13687,Reopened casinos,reopening,23,ME,Maine,,,,0.0,True
13637,Closed casinos,closure,24,MD,Maryland,2020,03,16,1.0,True
13688,Reopened casinos,reopening,24,MD,Maryland,2020,06,19,0.0,True
13638,Closed casinos,closure,25,MA,Massachusetts,2020,03,14,1.0,True
13689,Reopened casinos,reopening,25,MA,Massachusetts,2020,07,06,0.0,True
13639,Closed casinos,closure,26,MI,Michigan,2020,03,16,1.0,True
13690,Reopened casinos,reopening,26,MI,Michigan,2020,08,05,0.0,True
13640,Closed casinos,closure,27,MN,Minnesota,,,,1.0,True
13691,Reopened casinos,reopening,27,MN,Minnesota,,,,0.0,True
13641,Closed casinos,closure,28,MS,Mississippi,2020,03,16,1.0,True
13692,Reopened casinos,reopening,28,MS,Mississippi,2020,05,21,0.0,True
13642,Closed casinos,closure,29,MO,Missouri,2020,03,17,1.0,True
13693,Reopened casinos,reopening,29,MO,Missouri,2020,06,01,0.0,True
13643,Closed casinos,closure,30,MT,Montana,2020,03,20,1.0,True
13694,Reopened casinos,reopening,30,MT,Montana,2020,05,04,0.0,True
13644,Closed casinos,closure,31,NE,Nebraska,,,,1.0,True
13695,Reopened casinos,reopening,31,NE,Nebraska,,,,0.0,True
13645,Closed casinos,closure,32,NV,Nevada,2020,03,17,1.0,True
13696,Reopened casinos,reopening,32,NV,Nevada,2020,06,04,0.0,True
13646,Closed casinos,closure,33,NH,New Hampshire,,,,1.0,True
13697,Reopened casinos,reopening,33,NH,New Hampshire,,,,0.0,True
13647,Closed casinos,closure,34,NJ,New Jersey,2020,03,16,1.0,True
13698,Reopened casinos,reopening,34,NJ,New Jersey,2020,06,26,0.0,True
13648,Closed casinos,closure,35,NM,New Mexico,2020,03,16,1.0,True
13699,Reopened casinos,reopening,35,NM,New Mexico,2021,03,24,0.0,True
13649,Closed casinos,closure,36,NY,New York,2020,03,16,1.0,True
13700,Reopened casinos,reopening,36,NY,New York,2020,09,09,0.0,True
13650,Closed casinos,closure,37,NC,North Carolina,,,,1.0,True
13701,Reopened casinos,reopening,37,NC,North Carolina,,,,0.0,True
13651,Closed casinos,closure,38,ND,North Dakota,,,,1.0,True
13702,Reopened casinos,reopening,38,ND,North Dakota,,,,0.0,True
13652,Closed casinos,closure,39,OH,Ohio,,,,1.0,True
13703,Reopened casinos,reopening,39,OH,Ohio,,,,0.0,True
13653,Closed casinos,closure,40,OK,Oklahoma,,,,1.0,True
13704,Reopened casinos,reopening,40,OK,Oklahoma,,,,0.0,True
13654,Closed casinos,closure,41,OR,Oregon,,,,1.0,True
13705,Reopened casinos,reopening,41,OR,Oregon,,,,0.0,True
13655,Closed casinos,closure,42,PA,Pennsylvania,2020,03,17,1.0,True
13706,Reopened casinos,reopening,42,PA,Pennsylvania,2020,06,09,0.0,True
13656,Closed casinos,closure,44,RI,Rhode Island,2020,03,22,1.0,True
13707,Reopened casinos,reopening,44,RI,Rhode Island,2020,06,08,0.0,True
13657,Closed casinos,closure,45,SC,South Carolina,2020,04,01,1.0,True
13708,Reopened casinos,reopening,45,SC,South Carolina,2020,05,22,0.0,True
13658,Closed casinos,closure,46,SD,South Dakota,,,,1.0,True
13709,Reopened casinos,reopening,46,SD,South Dakota,,,,0.0,True
13659,Closed casinos,closure,47,TN,Tennessee,,,,1.0,True
13710,Reopened casinos,reopening,47,TN,Tennessee,,,,0.0,True
13660,Closed casinos,closure,48,TX,Texas,,,,1.0,True
13711,Reopened casinos,reopening,48,TX,Texas,,,,0.0,True
13661,Closed casinos,closure,49,UT,Utah,,,,1.0,True
13712,Reopened casinos,reopening,49,UT,Utah,,,,0.0,True
13662,Closed casinos,closure,50,VT,Vermont,,,,1.0,True
13713,Reopened casinos,reopening,50,VT,Vermont,,,,0.0,True
13663,Closed casinos,closure,51,VA,Virginia,,,,1.0,True
13714,Reopened casinos,reopening,51,VA,Virginia,,,,0.0,True
13664,Closed casinos,closure,53,WA,Washington,,,,1.0,True
13715,Reopened casinos,reopening,53,WA,Washington,,,,0.0,True
13665,Closed casinos,closure,54,WV,West Virginia,2020,03,18,1.0,True
13716,Reopened casinos,reopening,54,WV,West Virginia,2020,06,05,0.0,True
13666,Closed casinos,closure,55,WI,Wisconsin,,,,1.0,True
13717,Reopened casinos,reopening,55,WI,Wisconsin,,,,0.0,True
13667,Closed casinos,closure,56,WY,Wyoming,,,,1.0,True
13718,Reopened casinos,reopening,56,WY,Wyoming,,,,0.0,True
13719,Closed casinos (x2),closure,1,AL,Alabama,,,,1.0,True
13770,Reopened casinos (x2),closure,1,AL,Alabama,,,,0.0,True
13720,Closed casinos (x2),closure,2,AK,Alaska,,,,1.0,True
13771,Reopened casinos (x2),closure,2,AK,Alaska,,,,0.0,True
13721,Closed casinos (x2),closure,4,AZ,Arizona,,,,1.0,True
13772,Reopened casinos (x2),closure,4,AZ,Arizona,,,,0.0,True
13722,Closed casinos (x2),closure,5,AR,Arkansas,,,,1.0,True
13773,Reopened casinos (x2),closure,5,AR,Arkansas,,,,0.0,True
13723,Closed casinos (x2),closure,6,CA,California,,,,1.0,True
13774,Reopened casinos (x2),closure,6,CA,California,,,,0.0,True
13724,Closed casinos (x2),closure,8,CO,Colorado,,,,1.0,True
13775,Reopened casinos (x2),closure,8,CO,Colorado,,,,0.0,True
13725,Closed casinos (x2),closure,9,CT,Connecticut,,,,1.0,True
13776,Reopened casinos (x2),closure,9,CT,Connecticut,,,,0.0,True
13726,Closed casinos (x2),closure,10,DE,Delaware,,,,1.0,True
13777,Reopened casinos (x2),closure,10,DE,Delaware,,,,0.0,True
13727,Closed casinos (x2),closure,11,DC,District of Columbia,,,,1.0,True
13778,Reopened casinos (x2),closure,11,DC,District of Columbia,,,,0.0,True
13728,Closed casinos (x2),closure,12,FL,Florida,,,,1.0,True
13779,Reopened casinos (x2),closure,12,FL,Florida,,,,0.0,True
13729,Closed casinos (x2),closure,13,GA,Georgia,,,,1.0,True
13780,Reopened casinos (x2),closure,13,GA,Georgia,,,,0.0,True
13730,Closed casinos (x2),closure,15,HI,Hawaii,,,,1.0,True
13781,Reopened casinos (x2),closure,15,HI,Hawaii,,,,0.0,True
13731,Closed casinos (x2),closure,16,ID,Idaho,,,,1.0,True
13782,Reopened casinos (x2),closure,16,ID,Idaho,,,,0.0,True
13732,Closed casinos (x2),closure,17,IL,Illinois,2020,11,20,1.0,True
13783,Reopened casinos (x2),closure,17,IL,Illinois,2021,01,23,0.0,True
13733,Closed casinos (x2),closure,18,IN,Indiana,,,,1.0,True
13784,Reopened casinos (x2),closure,18,IN,Indiana,,,,0.0,True
13734,Closed casinos (x2),closure,19,IA,Iowa,,,,1.0,True
13785,Reopened casinos (x2),closure,19,IA,Iowa,,,,0.0,True
13735,Closed casinos (x2),closure,20,KS,Kansas,,,,1.0,True
13786,Reopened casinos (x2),closure,20,KS,Kansas,,,,0.0,True
13736,Closed casinos (x2),closure,21,KY,Kentucky,,,,1.0,True
13787,Reopened casinos (x2),closure,21,KY,Kentucky,,,,0.0,True
13737,Closed casinos (x2),closure,22,LA,Louisiana,,,,1.0,True
13788,Reopened casinos (x2),closure,22,LA,Louisiana,,,,0.0,True
13738,Closed casinos (x2),closure,23,ME,Maine,,,,1.0,True
13789,Reopened casinos (x2),closure,23,ME,Maine,,,,0.0,True
13739,Closed casinos (x2),closure,24,MD,Maryland,,,,1.0,True
13790,Reopened casinos (x2),closure,24,MD,Maryland,,,,0.0,True
13740,Closed casinos (x2),closure,25,MA,Massachusetts,,,,1.0,True
13791,Reopened casinos (x2),closure,25,MA,Massachusetts,,,,0.0,True
13741,Closed casinos (x2),closure,26,MI,Michigan,2020,11,18,1.0,True
13792,Reopened casinos (x2),closure,26,MI,Michigan,2020,12,21,0.0,True
13742,Closed casinos (x2),closure,27,MN,Minnesota,,,,1.0,True
13793,Reopened casinos (x2),closure,27,MN,Minnesota,,,,0.0,True
13743,Closed casinos (x2),closure,28,MS,Mississippi,,,,1.0,True
13794,Reopened casinos (x2),closure,28,MS,Mississippi,,,,0.0,True
13744,Closed casinos (x2),closure,29,MO,Missouri,,,,1.0,True
13795,Reopened casinos (x2),closure,29,MO,Missouri,,,,0.0,True
13745,Closed casinos (x2),closure,30,MT,Montana,,,,1.0,True
13796,Reopened casinos (x2),closure,30,MT,Montana,,,,0.0,True
13746,Closed casinos (x2),closure,31,NE,Nebraska,,,,1.0,True
13797,Reopened casinos (x2),closure,31,NE,Nebraska,,,,0.0,True
13747,Closed casinos (x2),closure,32,NV,Nevada,,,,1.0,True
13798,Reopened casinos (x2),closure,32,NV,Nevada,,,,0.0,True
13748,Closed casinos (x2),closure,33,NH,New Hampshire,,,,1.0,True
13799,Reopened casinos (x2),closure,33,NH,New Hampshire,,,,0.0,True
13749,Closed casinos (x2),closure,34,NJ,New Jersey,,,,1.0,True
13800,Reopened casinos (x2),closure,34,NJ,New Jersey,,,,0.0,True
13750,Closed casinos (x2),closure,35,NM,New Mexico,,,,1.0,True
13801,Reopened casinos (x2),closure,35,NM,New Mexico,,,,0.0,True
13751,Closed casinos (x2),closure,36,NY,New York,,,,1.0,True
13802,Reopened casinos (x2),closure,36,NY,New York,,,,0.0,True
13752,Closed casinos (x2),closure,37,NC,North Carolina,,,,1.0,True
13803,Reopened casinos (x2),closure,37,NC,North Carolina,,,,0.0,True
13753,Closed casinos (x2),closure,38,ND,North Dakota,,,,1.0,True
13804,Reopened casinos (x2),closure,38,ND,North Dakota,,,,0.0,True
13754,Closed casinos (x2),closure,39,OH,Ohio,,,,1.0,True
13805,Reopened casinos (x2),closure,39,OH,Ohio,,,,0.0,True
13755,Closed casinos (x2),closure,40,OK,Oklahoma,,,,1.0,True
13806,Reopened casinos (x2),closure,40,OK,Oklahoma,,,,0.0,True
13756,Closed casinos (x2),closure,41,OR,Oregon,,,,1.0,True
13807,Reopened casinos (x2),closure,41,OR,Oregon,,,,0.0,True
13757,Closed casinos (x2),closure,42,PA,Pennsylvania,2020,12,12,1.0,True
13808,Reopened casinos (x2),closure,42,PA,Pennsylvania,2021,01,04,0.0,True
13758,Closed casinos (x2),closure,44,RI,Rhode Island,2020,11,30,1.0,True
13809,Reopened casinos (x2),closure,44,RI,Rhode Island,2020,12,21,0.0,True
13759,Closed casinos (x2),closure,45,SC,South Carolina,,,,1.0,True
13810,Reopened casinos (x2),closure,45,SC,South Carolina,,,,0.0,True
13760,Closed casinos (x2),closure,46,SD,South Dakota,,,,1.0,True
13811,Reopened casinos (x2),closure,46,SD,South Dakota,,,,0.0,True
13761,Closed casinos (x2),closure,47,TN,Tennessee,,,,1.0,True
13812,Reopened casinos (x2),closure,47,TN,Tennessee,,,,0.0,True
13762,Closed casinos (x2),closure,48,TX,Texas,,,,1.0,True
13813,Reopened casinos (x2),closure,48,TX,Texas,,,,0.0,True
13763,Closed casinos (x2),closure,49,UT,Utah,,,,1.0,True
13814,Reopened casinos (x2),closure,49,UT,Utah,,,,0.0,True
13764,Closed casinos (x2),closure,50,VT,Vermont,,,,1.0,True
13815,Reopened casinos (x2),closure,50,VT,Vermont,,,,0.0,True
13765,Closed casinos (x2),closure,51,VA,Virginia,,,,1.0,True
13816,Reopened casinos (x2),closure,51,VA,Virginia,,,,0.0,True
13766,Closed casinos (x2),closure,53,WA,Washington,,,,1.0,True
13817,Reopened casinos (x2),closure,53,WA,Washington,,,,0.0,True
13767,Closed casinos (x2),closure,54,WV,West Virginia,,,,1.0,True
13818,Reopened casinos (x2),closure,54,WV,West Virginia,,,,0.0,True
13768,Closed casinos (x2),closure,55,WI,Wisconsin,,,,1.0,True
13819,Reopened casinos (x2),closure,55,WI,Wisconsin,,,,0.0,True
13769,Closed casinos (x2),closure,56,WY,Wyoming,,,,1.0,True
13820,Reopened casinos (x2),closure,56,WY,Wyoming,,,,0.0,True
14280,2020 Minimum Wage for Tipped Workers,,1,AL,Alabama,,,,,False
14281,2020 Minimum Wage for Tipped Workers,,2,AK,Alaska,,,,,False
14282,2020 Minimum Wage for Tipped Workers,,4,AZ,Arizona,,,,,False
14283,2020 Minimum Wage for Tipped Workers,,5,AR,Arkansas,,,,,False
14284,2020 Minimum Wage for Tipped Workers,,6,CA,California,,,,,False
14285,2020 Minimum Wage for Tipped Workers,,8,CO,Colorado,,,,,False
14286,2020 Minimum Wage for Tipped Workers,,9,CT,Connecticut,,,,,False
14287,2020 Minimum Wage for Tipped Workers,,10,DE,Delaware,,,,,False
14288,2020 Minimum Wage for Tipped Workers,,11,DC,District of Columbia,,,,,False
14289,2020 Minimum Wage for Tipped Workers,,12,FL,Florida,,,,,False
14290,2020 Minimum Wage for Tipped Workers,,13,GA,Georgia,,,,,False
14291,2020 Minimum Wage for Tipped Workers,,15,HI,Hawaii,,,,,False
14292,2020 Minimum Wage for Tipped Workers,,16,ID,Idaho,,,,,False
14293,2020 Minimum Wage for Tipped Workers,,17,IL,Illinois,,,,,False
